"","country","lat","lng","confirmed","deaths","iso3c","gdp_capita_2018","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","pop_2018","confirmed_per_100k","deaths_per_100k","mortality_rate","popup"
"1","Antigua and Barbuda",17.0608,-61.7964,19,1,"ATG",15134.8841569088,22.0810917475022,69.1190827326922,8.79982551980558,96286,19.7328791309225,1.03857258583802,5.26315789473684,"Antigua and Barbuda,19"
"2","Bahamas",25.0343,-77.3963,33,6,"BHS",27261.2144822129,22.4848756732367,70.2575219701429,7.25760235662035,385640,8.55720360958407,1.55585520174256,18.1818181818182,"Bahamas,33"
"3","Barbados",13.1939,-59.5432,63,3,"BRB",16018.0411266686,17.342948147683,66.8543578901832,15.8026939621338,286641,21.978712047474,1.046605335594,4.76190476190476,"Barbados,63"
"4","Guyana",5,-58.75,33,5,"GUY",3992.22625949241,28.214545202476,65.335183554427,6.45027124309697,779004,4.23617850486005,0.641845228009099,15.1515151515152,"Guyana,33"
"5","Haiti",18.9712,-72.2852,25,1,"HTI",730.296713024986,33.242244257891,61.8083518936764,4.94940384843253,11123176,0.224755950998168,0.00899023803992673,4,"Haiti,25"
"6","Jamaica",18.1096,-77.2975,63,3,"JAM",4855.26207081811,23.7500966830639,67.4532607662342,8.79664255070196,2934855,2.14661371686165,0.102219700802936,4.76190476190476,"Jamaica,63"
"7","Saint Lucia",13.9094,-60.9789,14,0,"LCA",8485.27171394218,18.5288830000715,71.6645866435024,9.80653035642617,181889,7.6970020177141,0,0,"Saint Lucia,14"
"8","Saint Vincent and the Grenadines",12.9843,-61.2872,8,0,"VCT",6852.60660188886,22.5413071290525,67.8689060075673,9.58978686338024,110210,7.25886943108611,0,0,"Saint Vincent and the Grenadines,8"
"9","Suriname",3.9193,-56.0278,10,1,"SUR",8040.94011128172,27.170263372628,65.9233667251168,6.90636990225525,575991,1.73613823827108,0.173613823827108,10,"Suriname,10"
"10","Trinidad and Tobago",10.6918,-61.2225,107,8,"TTO",15161.0684555798,20.419572570427,68.8454739132406,10.7349535163324,1389858,7.69862820518355,0.575598370481013,7.47663551401869,"Trinidad and Tobago,107"
"11","Dominica",15.415,-61.371,15,0,"DMA",6694.34637135228,NA,NA,NA,71625,20.9424083769633,0,0,"Dominica,15"
"12","Grenada",12.1165,-61.679,12,0,"GRD",9096.32995901451,23.5612898594936,66.8168033448777,9.62190679562869,111454,10.7667737362499,0,0,"Grenada,12"
"13","Belize",17.1899,-88.4976,7,1,"BLZ",4248.99905543377,30.2797653698662,64.9837758535624,4.73645877657144,383071,1.82733749096121,0.261048212994458,14.2857142857143,"Belize,7"
"14","Saint Kitts and Nevis",17.357822,-62.782998,11,0,"KNA",16942.6664176757,NA,NA,NA,52441,20.9759539291776,0,0,"Saint Kitts and Nevis,11"
