"","id","country","iso3c","admin_level_name","region","category","measure","targeted_pop_group","comments","non_compliance","date_implemented","source","source_type","link","alternative_source","alternative source","timestamp"
"1",1,"Afghanistan","AFG",NA,"Asia","Public health measures","Health screenings in airports and border crossings","No",NA,NA,2020-02-12,"Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",2020-03-14,NA,2020-04-08 19:49:33
"2",2,"Afghanistan","AFG","Kabul","Asia","Public health measures","Introduction of quarantine policies","No",NA,NA,2020-02-12,"Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",2020-03-14,NA,2020-04-08 19:49:33
"3",3,"Afghanistan","AFG",NA,"Asia","Public health measures","Awareness campaigns","No",NA,NA,2020-02-12,"Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",2020-03-14,NA,2020-04-08 19:49:33
"4",4,"Afghanistan","AFG",NA,"Asia","Governance and socio-economic measures","Emergency administrative structures activated or established","No",NA,NA,2020-02-12,"Ministry of Health","Government","https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",2020-03-14,NA,2020-04-08 19:49:33
"5",5,"Afghanistan","AFG",NA,"Asia","Social distancing","Limit public gatherings","No","Nevruz festival cancelled",NA,2020-03-12,"AA","Media","https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830",2020-03-14,NA,2020-04-08 19:49:33
"6",6,"Afghanistan","AFG",NA,"Asia","Movement restrictions","Border closure ","No","Closure of borders with Iran",NA,2020-02-24,"Guardian","Media","https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case",2020-03-14,NA,2020-04-08 19:49:33
"7",8,"Afghanistan","AFG","Herat","Asia","Social distancing","Schools closure ","No",NA,NA,2020-03-01,"OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",2020-03-14,NA,2020-04-08 19:49:33
"8",10,"Afghanistan","AFG","Herat","Asia","Social distancing","Limit public gatherings","No","all public gatherings banned",NA,2020-03-01,"OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",2020-03-14,NA,2020-04-08 19:49:33
"9",12,"Afghanistan","AFG",NA,"Asia","Public health measures","Strengthening the public health system","No",NA,NA,2020-03-01,"OCHA","UN","https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf",2020-03-14,NA,2020-04-08 19:49:33
"10",17,"Afghanistan","AFG",NA,"Asia","Governance and socio-economic measures","Limit product imports/exports","No","Food imports from Iran and Afghanistan has been limited",NA,2020-03-01,"US Embassy","Government","https://af.usembassy.gov/covid-19-information/",2020-03-14,NA,2020-04-08 19:49:33
"11",23,"Afghanistan","AFG",NA,"Asia","Movement restrictions","Border checks ","Yes","All China and Iran nationals",NA,2020-02-01,"US Embassy","Government","https://af.usembassy.gov/covid-19-information/",2020-03-14,NA,2020-04-08 19:49:33
"12",27,"Albania","ALB",NA,"Europe","Movement restrictions","International flights suspension","Yes","Italy until 3rd April","Not applicable",2020-03-09,"Tirana Times 09/03/3030","Media","https://www.tiranatimes.com/?p=144490",2020-03-14,NA,2020-04-08 19:49:33
"13",28,"Albania","ALB","Tirana and Durres","Europe","Movement restrictions","Domestic travel restrictions","No","vehicle movement restrictions","Not applicable",2020-03-16,"US Embassy","Government","https://al.usembassy.gov/updates_covid19/",2020-03-14,NA,2020-04-08 19:49:33
"14",29,"Albania","ALB",NA,"Europe","Social distancing","Schools closure ","No","All schools are closed from March 10, 2020 until March 23, 2020","Not applicable",2020-03-10,"US Embassy","Government","https://al.usembassy.gov/updates_covid19/",2020-03-14,NA,2020-04-08 19:49:33
"15",30,"Albania","ALB",NA,"Europe","Social distancing","Limit public gatherings","No","Until 3rd April","Not applicable",2020-03-10,"US Embassy","Government","https://al.usembassy.gov/updates_covid19/",2020-03-14,NA,2020-04-08 19:49:33
"16",31,"Albania","ALB",NA,"Europe","Movement restrictions","Checkpoints within the country","Yes","People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days","Not applicable",2020-03-10,"US Embassy","Government","https://al.usembassy.gov/updates_covid19/",2020-03-14,NA,2020-04-08 19:49:33
"17",32,"Albania","ALB",NA,"Europe","Public health measures","Introduction of quarantine policies","Yes","All people entering the country for 15 days","Not applicable",2020-03-10,"US Embassy","Government","https://al.usembassy.gov/updates_covid19/",2020-03-14,NA,2020-04-08 19:49:33
"18",34,"Albania","ALB",NA,"Europe","Governance and socio-economic measures","Economic measures","No","Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians","Not applicable",2020-03-12,"BalkanInSight","Media","https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/",2020-03-14,"https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html",2020-04-08 19:49:33
"19",35,"Albania","ALB",NA,"Europe","Public health measures","Awareness campaigns","No",NA,"Not applicable",2020-03-11,"US Embassy","Government","https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/",2020-03-14,NA,2020-04-08 19:49:33
