"","country","iso3c","date","confirmed","deaths","recovered","soc_dist","mov_rest","pub_health","soc_econ","lockdown","gtrends_score","gtrends_country_score","region","income","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp"
"1","Antigua and Barbuda","ATG",2020-01-22,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"2","Antigua and Barbuda","ATG",2020-01-23,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"3","Antigua and Barbuda","ATG",2020-01-24,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"4","Antigua and Barbuda","ATG",2020-01-25,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"5","Antigua and Barbuda","ATG",2020-01-26,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"6","Antigua and Barbuda","ATG",2020-01-27,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"7","Antigua and Barbuda","ATG",2020-01-28,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"8","Antigua and Barbuda","ATG",2020-01-29,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"9","Antigua and Barbuda","ATG",2020-01-30,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"10","Antigua and Barbuda","ATG",2020-01-31,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"11","Antigua and Barbuda","ATG",2020-02-01,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
