"","country","lat","lng","confirmed","deaths","iso3c","land_area","pop_density","pop_largest_city","gdp_capita_2018","life_expectancy","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","pop_2018","iso2c","region","incomeID","income","confirmed_per_100k","deaths_per_100k","mortality_rate"
"1","Afghanistan",33,65,607,18,"AFG",652860,56.937760009803,4011770,563.825662667794,64.486,43.0901755117794,54.3248975483403,2.58492693988024,37172386,"AF","South Asia","LIC","Low income",1.63293257527241,0.0484230417708457,2.96540362438221
"2","Albania",41.1533,20.1683,446,23,"ALB",27400,104.612262773723,475577,5079.40111990631,78.458,17.672873724304,68.5823903647225,13.7447359109736,2866376,"AL","Europe & Central Asia","UMC","Upper middle income",15.5597172178388,0.802406941727115,5.15695067264574
"3","Algeria",28.0339,1.6596,1914,293,"DZA",2381740,17.7300750711665,2693542,4764.37563637977,76.693,30.1486785862257,63.4888248687945,6.36249654497986,42228429,"DZ","Middle East & North Africa","UMC","Upper middle income",4.53249160654307,0.693845371325559,15.3082549634274
"4","Andorra",42.5063,1.5218,638,29,"AND",470,163.842553191489,NA,44569.7830090145,NA,NA,NA,NA,77006,"AD","Europe & Central Asia","HIC","High income",828.506869594577,37.6594031633899,4.54545454545455
"5","Angola",-11.2027,17.8739,19,2,"AGO",1246700,24.7130520574316,7774200,3229.61973975117,60.782,46.8089247095412,50.9747016426956,2.21637364776329,30809762,"AO","Sub-Saharan Africa ","LMC","Lower middle income",0.0616687658930958,0.00649144904137851,10.5263157894737
"6","Antigua and Barbuda",17.0608,-61.7964,21,2,"ATG",440,218.831818181818,NA,15134.8841569088,76.885,22.0810917475022,69.1190827326922,8.79982551980558,96286,"AG","Latin America & Caribbean ","HIC","High income",21.8100243025985,2.07714517167605,9.52380952380952
"7","Argentina",-38.4161,-63.6167,2142,90,"ARG",2736690,16.2585100979651,14966530,10043.5085520823,76.52,24.7609338351238,64.1212772887989,11.1177888760774,44494502,"AR","Latin America & Caribbean ","UMC","Upper middle income",4.81407792809997,0.20227218185294,4.20168067226891
"8","Armenia",40.0691,45.0382,1013,13,"ARM",28470,103.680224798033,1080324,4406.70643395879,74.945,20.6334219249969,68.11276041799,11.2538176570131,2951776,"AM","Europe & Central Asia","UMC","Upper middle income",34.3183222575155,0.440412822653209,1.28331688055281
"9","Australia",-35.4735,149.0124,103,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.00800554367888676,1.94174757281553
"10","Australia",-35.4735,149.0124,103,24,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0960665241466411,23.3009708737864
"11","Australia",-35.4735,149.0124,103,0,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0,0
"12","Australia",-35.4735,149.0124,103,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0200138591972169,4.85436893203883
"13","Australia",-35.4735,149.0124,103,4,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0160110873577735,3.88349514563107
"14","Australia",-35.4735,149.0124,103,5,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0200138591972169,4.85436893203883
"15","Australia",-35.4735,149.0124,103,14,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0560388057522073,13.5922330097087
"16","Australia",-35.4735,149.0124,103,6,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",0.412285499462668,0.0240166310366603,5.8252427184466
"17","Australia",-33.8688,151.2093,2857,2,"AUS",7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,19.1906170385658,65.1529077338752,15.6564752275591,24982688,"AU","East Asia & Pacific","HIC","High income",11.4359191452897,0.00800554367888676,0.0700035001750088
