"","country","iso3c","date","confirmed","deaths","recovered","soc_dist","mov_rest","pub_health","soc_econ","lockdown","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_parks","gcmr_transit_stations","gcmr_workplaces","gcmr_residential","gtrends_score","gtrends_country_score","region","income","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp","lat","long","economy","oecs","confirmed_logratio","confirmed_per_100k","deaths_per_100k","mortality_rate"
"1","Antigua and Barbuda","ATG",2020-04-12,21,2,0,3,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-04-13 01:16:25,"17.1175","-61.8456","Service Based","OECS Member State",0,21.8100243025985,2.07714517167605,9.52380952380952
"2","Bahamas","BHS",2020-04-12,46,8,5,5,4,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.752,27261.2144822129,2020-04-13 01:16:25,"25.0661","-77.339","Service Based","Non-OECS Member State",0,11.9282232133596,2.07447360232341,17.3913043478261
"3","Belize","BLZ",2020-04-12,14,2,0,3,6,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",383071,22810,16.7939938623411,NA,74.496,4248.99905543377,2020-04-13 01:16:25,"17.2534","-88.7713","Service Based","Non-OECS Member State",0.0741079721537217,3.65467498192241,0.522096425988916,14.2857142857143
"4","Barbados","BRB",2020-04-12,71,4,11,11,2,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",286641,430,666.606976744186,NA,79.081,16018.0411266686,2020-04-13 01:16:25,"13.0935","-59.6105","Service Based","Non-OECS Member State",0.0431721718652085,24.769659609058,1.395473780792,5.63380281690141
"5","Dominica","DMA",2020-04-12,16,0,8,0,3,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",71625,750,95.5,NA,NA,6694.34637135228,2020-04-13 01:16:25,"15.2976","-61.39","Service Based","OECS Member State",0,22.3385689354276,0,0
"6","Grenada","GRD",2020-04-12,14,0,0,4,3,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",111454,340,327.805882352941,NA,72.384,9096.32995901451,2020-04-13 01:16:25,"12.0653","-61.7449","Service Based","OECS Member State",0,12.5612360256249,0,0
"7","Guyana","GUY",2020-04-12,45,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",779004,196850,3.95734823469647,NA,69.774,3992.22625949241,2020-04-13 01:16:25,"6.80461","-58.1548","Commodity Based","Non-OECS Member State",0,5.77660705208189,0.770214273610919,13.3333333333333
"8","Haiti","HTI",2020-04-12,33,3,0,2,2,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Low income",11123176,27560,403.59854862119,2636763,63.66,730.296713024986,2020-04-13 01:16:25,"18.5392","-72.3288","Service Based","Non-OECS Member State",0,0.296677855317582,0.0269707141197802,9.09090909090909
"9","Jamaica","JAM",2020-04-12,69,4,13,0,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",2934855,10830,270.993074792244,589083,74.368,4855.26207081811,2020-04-13 01:16:25,"17.9927","-76.792","Commodity Based","Non-OECS Member State",0.0597192347016229,2.35105311846752,0.136292934403914,5.79710144927536
"10","Saint Kitts and Nevis","KNA",2020-04-12,12,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",52441,260,201.696153846154,NA,NA,16942.6664176757,2020-04-13 01:16:25,"17.3","-62.7309","Service Based","OECS Member State",0,22.8828588318301,0,0
"11","Saint Lucia","LCA",2020-04-12,15,0,4,4,7,12,0,2,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",181889,610,298.17868852459,NA,76.057,8485.27171394218,2020-04-13 01:16:25,"14","-60.9832","Service Based","OECS Member State",0,8.24678787612225,0,0
"12","Suriname","SUR",2020-04-12,10,1,4,2,4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",575991,156000,3.69225,NA,71.57,8040.94011128172,2020-04-13 01:16:25,"5.8232","-55.1679","Service Based","Non-OECS Member State",0,1.73613823827108,0.173613823827108,10
"13","Trinidad and Tobago","TTO",2020-04-12,113,8,16,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","High income",1389858,5130,270.927485380117,544417,73.38,15161.0684555798,2020-04-13 01:16:25,"10.6596","-61.4789","Commodity Based","Non-OECS Member State",0.00888894741724666,8.13032698304431,0.575598370481013,7.07964601769912
"14","Saint Vincent and the Grenadines","VCT",2020-04-12,12,0,1,2,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America & Caribbean ","Upper middle income",110210,390,282.589743589744,NA,72.415,6852.60660188886,2020-04-13 01:16:25,"13.2035","-61.2653","Service Based","OECS Member State",0,10.8883041466292,0,0
